run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,configname,TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,datetime,20230801-02:45:35,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,experiment,TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,inifile,simulations/PretioWithLB/omnetpp.ini,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,iterationvars,,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,iterationvarsf,,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,measurement,,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,network,PretioWithLB,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,processid,234655,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,repetition,0,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,replication,#0,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,resultdir,results,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,runnumber,0,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,runattr,,,seedset,0,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.numClients,10,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.server[*].numVms,4,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.numServers,1,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.client[*].numApps,1,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.client[*].app[*].connectPort,"int(uniform(399,403))",,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,**.server[0].vm[0].localPort,400,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,**.server[0].vm[1].localPort,401,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,**.server[0].vm[2].localPort,402,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,**.server[0].vm[3].localPort,403,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.server[*].OS_scheduler.S[*].serviceTime,1s,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.server[*].OS_scheduler.S[*].sleepTime,6s,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.server[*].OS_scheduler.S[*].scheduleShare,2s,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.server[*].OS_scheduler.S[*].schedulerStatus,true,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.server[*].OS_scheduler.Q[*].capacity,10,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.client[*].app[*].idleInterval,int(bernoulli(0.1))*100s,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.client[*].app[*].numRequestsPerSession,"1+int(binomial(5,0.9))",,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.client[*].app[*].thinkTime,exponential(100ms),,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,**.cloudNetwork.ipv4Delayer.config,"xmldoc(""./simulations/PretioWithLB/internetCloud.xml"")",,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.numClients,1,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.numServers,1,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.client[*].numApps,1,,,
TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655,param,,,*.client[*].app[*].typename,"""ClientTcpPoisson""",,,
