run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,configname,LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,datetime,20210928-12:29:53,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,experiment,LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,inifile,omnetpp.ini,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,iterationvars,,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,iterationvarsf,,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,measurement,,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,network,PretioWithLB,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,processid,6384,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,repetition,0,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,replication,#0,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,resultdir,results,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,runnumber,0,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,runattr,,,seedset,0,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.numClients,30,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.numServers,1,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.server[*].numVms,4,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[0].app[0].connectPort,401,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[1].app[0].connectPort,402,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[2].app[0].connectPort,402,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[3].app[0].connectPort,403,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[4].app[0].connectPort,403,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[5].app[0].connectPort,403,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[6].app[0].connectPort,404,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[7].app[0].connectPort,404,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[8].app[0].connectPort,404,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[9].app[0].connectPort,404,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[1*].app[0].connectPort,"int(uniform(400,405))",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[1*].app[*].startTime,"int(uniform(5000s,15000s))",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[1*].app[*].stopTime,"int(uniform(25000s,50000s))",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[2*].app[0].connectPort,"int(uniform(400,405))",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[2*].app[*].startTime,"int(uniform(20000s,35000s))",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[2*].app[*].stopTime,"int(uniform(45000s,65000s))",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,**.server[0].vm[0].localPort,401,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,**.server[0].vm[1].localPort,402,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,**.server[0].vm[2].localPort,403,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,**.server[0].vm[3].localPort,404,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.server[*].OS_scheduler.S[*].serviceTime,exponential(4s),,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.server[*].OS_scheduler.S[*].sleepTime,exponential(20s),,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.server[*].OS_scheduler.S[*].scheduleShare,exponential(4s),,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.server[*].OS_scheduler.S[*].schedulerStatus,true,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.server[*].OS_scheduler.Q[*].capacity,20,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[*].app[0].idleInterval,exponential(0.01s),,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[*].app[0].numRequestsPerSession,"1+int(binomial(6,0.9))",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[*].app[0].thinkTime,exponential(1s),,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,**.cloudNetwork.ipv4Delayer.config,"xmldoc(""internetCloud.xml"")",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[*].numApps,1,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[*].app[*].typename,"""tryClient""",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[*].app[*].connectAddress,"""server[0]""",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[*].app[*].requestLength,"1B*int(truncnormal(150,10))",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.client[*].app[*].replyLength,"1B*int(truncnormal(350,20))",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.server[*].numVms,1,,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.server[*].vm[*].typename,"""tryServer""",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.server[*].vm[*].replyDelay,exponential(0.5s),,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,*.server[*].ppp[*].ppp.queue.typename,"""DropTailQueue""",,,
LOAD_Variation_SCHEDULING-EFFECT-Pretio-wl-10run-Scheduling-on-QDrop-off-0-20210928-12:29:53-6384,param,,,**.ppp[*].ppp.queue.typename,"""DropTailQueue""",,,
